vertical,tier,primary_sector,current_index,raw_latest,tag,net_3mo,delta_this_week,delta_prior_3wk,delta_prior_2mo
Mental Health,clean,Therapy,178.5,178.9,"above baseline, rising (3-mo)",14.1,0.3,5.4,8.4
Engineering,clean,Mechanical Engineering,157.7,159.7,"above baseline, rising (3-mo)",14.0,1.0,2.8,10.1
Supply Chain & Logistics,clean,Logistic Support,117.2,119.1,"above baseline, rising (3-mo)",13.2,1.4,1.1,10.7
Manufacturing,clean,Production & Manufacturing,121.5,122.3,"above baseline, rising (3-mo)",8.3,-0.3,2.5,6.1
Project Management,clean,Project Management,113.8,114.8,"above baseline, rising (3-mo)",6.9,0.6,1.6,4.6
Construction,clean,Construction,123.3,123.7,"above baseline, rising (3-mo)",6.0,0.2,2.1,3.8
Hospitality & Tourism,clean,Hospitality & Tourism,87.1,87.2,"below baseline, rising (3-mo)",4.6,0.4,2.8,1.4
Accounting & Finance,clean,Accounting,96.4,98.3,"below baseline, rising (3-mo)",4.3,-1.0,10.5,-5.2
Healthcare,clean,Nursing,104.7,105.0,"above baseline, rising (3-mo)",4.1,0.2,0.6,3.3
Law Enforcement,clean,Security & Public Safety,113.6,113.7,"above baseline, rising (3-mo)",4.0,-2.3,0.6,5.6
Legal,clean,Legal,118.5,119.2,"above baseline, rising (3-mo)",3.1,-0.5,-1.2,4.8
Facilities Management,clean,Installation & Maintenance,113.6,114.1,"above baseline, rising (3-mo)",2.8,0.2,0.8,1.8
Human Resources,clean,Human Resources,93.7,94.7,"below baseline, rising (3-mo)",2.6,-0.1,-0.6,3.4
Life Sciences,clean,Scientific Research & Development,79.4,80.1,"below baseline, rising (3-mo)",2.6,-0.5,1.9,1.2
Sciences,clean,Scientific Research & Development,79.4,80.1,"below baseline, rising (3-mo)",2.6,-0.5,1.9,1.2
Marketing/Comms/PR,clean,Marketing,76.3,76.6,"below baseline, flat (3-mo)",2.3,-0.9,2.0,1.2
Administration,clean,Administrative Assistance,94.8,95.4,"below baseline, flat (3-mo)",1.8,-0.5,0.6,1.8
Technology,clean,Software Development,75.1,76.1,"below baseline, flat (3-mo)",1.7,0.4,0.5,0.8
Arts & Entertainment,clean,Arts & Entertainment,82.7,83.3,"below baseline, flat (3-mo)",1.4,0.0,1.7,-0.3
Sales,clean,Sales,91.2,91.7,"below baseline, flat (3-mo)",1.2,0.7,1.2,-0.6
Banking,clean,Banking & Finance,99.8,101.6,"at baseline, flat (3-mo)",0.7,-2.0,-2.4,5.1
Actuarial & Insurance,clean,Insurance,124.5,125.6,"above baseline, flat (3-mo)",0.3,-1.5,1.1,0.7
Retail,clean,Retail,87.6,87.8,"below baseline, flat (3-mo)",0.1,1.3,-0.3,-0.8
Transportation,clean,Driving,80.8,80.6,"below baseline, flat (3-mo)",-0.5,-1.3,-3.2,4.0
Education,clean,Education & Instruction,106.9,107.0,"above baseline, falling (3-mo)",-10.0,-1.6,-2.6,-5.7
Aging Services,proxy,Personal Care & Home Health,153.0,153.8,"above baseline, rising (3-mo)",19.2,-0.1,5.5,13.7
End of Life Services,proxy,Personal Care & Home Health,153.0,153.8,"above baseline, rising (3-mo)",19.2,-0.1,5.5,13.7
Journalism,proxy,Media & Communications,71.0,70.6,"below baseline, rising (3-mo)",7.9,-1.9,3.4,6.3
Aeronautics & Defense,proxy,Aviation,114.4,115.2,"above baseline, rising (3-mo)",6.3,0.3,-0.1,6.1
Fundraising,proxy,Community & Social Service,104.1,104.2,"above baseline, rising (3-mo)",3.3,-1.0,1.0,3.3
Nonprofit,proxy,Community & Social Service,104.1,104.2,"above baseline, rising (3-mo)",3.3,-1.0,1.0,3.3
Automotive,proxy,Installation & Maintenance,113.6,114.1,"above baseline, rising (3-mo)",2.8,0.2,0.8,1.8
Energy,proxy,Installation & Maintenance,113.6,114.1,"above baseline, rising (3-mo)",2.8,0.2,0.8,1.8
Water & Public Utilities,proxy,Installation & Maintenance,113.6,114.1,"above baseline, rising (3-mo)",2.8,0.2,0.8,1.8
Telecom,proxy,"IT Infrastructure, Operations & Support",70.7,71.1,"below baseline, flat (3-mo)",2.3,-0.0,-0.1,2.4
Design,proxy,Arts & Entertainment,82.7,83.3,"below baseline, flat (3-mo)",1.4,0.0,1.7,-0.3
Higher Education,proxy,Education & Instruction,106.9,107.0,"above baseline, falling (3-mo)",-10.0,-1.6,-2.6,-5.7
